Task,Value_Avg,Count,Stderr_Avg
afrimgsm_base_mistral,0.0187,95,0.0073
afrimgsm_base_qwen,0.0558,95,0.0123
afrimgsm_deepseek_llama,0.0311,95,0.0088
afrimgsm_mistral,0.0081,95,0.0052
afrimgsm_qwen,0.0582,95,0.0121
afrimmlu_base_mistral,0.2601,180,0.0196
afrimmlu_base_qwen,0.3315,180,0.0207
afrimmlu_deepseek_llama,0.2457,180,0.0192
afrimmlu_mistral,0.2343,180,0.019
afrimmlu_qwen,0.3043,180,0.0204
afrixnli_base_mistral,0.2734,180,0.0193
afrixnli_base_qwen,0.3037,180,0.0194
afrixnli_mistral,0.2798,180,0.0193
afrixnlx_deepseek_llama,0.3013,180,0.0194
afrixnlx_qwen,0.2984,180,0.0194
