country,country_alpha,gender,age_group,V4,V5,V6,V7,V8,V9,V24,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V102,V103,V104,V105,V106,V107,V127,V128,V129,V130,V142,V143,V144,V171,V172,V173,V174,V175,V176,V177,V178,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V211,V212,V216,V228A,V228B,V228C,V228D,V228E,V228F,V228G,V228H,V228I,V228J,V228K
288.0,GHA,Female,20-29,1,2,2,3,1,1,2,2,1,2,2,1,3,2,3,2,3,1,3,1,1,2,2,2,4,2,2,3,2,2,2,2,3,2,3,3,3,3,3,3,1,2,2,27661973,3,2,3,3,3,4,4,5,1,1,2,2,2,2,2,3,4,3,3,1,1,2,2,3,2,2,2,2,2,2,2,1,1
288.0,GHA,Female,30-39,1,2,2,3,1,1,2,2,1,2,2,1,3,2,3,2,3,1,3,1,1,2,3,2,4,2,2,3,2,2,2,1,2,2,3,3,3,3,2,3,1,2,2,27115385,3,2,3,3,3,4,4,5,1,1,1,1,2,2,2,3,3,3,3,1,2,2,2,3,2,2,2,2,2,2,2,1,1
288.0,GHA,Female,40-49,1,2,2,3,1,1,2,2,1,2,2,1,3,2,3,2,3,1,3,1,1,2,2,2,4,2,2,3,2,2,2,1,2,2,3,3,3,3,2,3,1,2,2,32413794,3,3,4,3,3,4,4,5,1,1,1,2,2,2,2,3,4,3,3,1,2,2,2,3,2,2,2,2,2,2,2,1,1
288.0,GHA,Female,50-59,1,2,2,2,1,1,2,2,1,2,2,1,3,2,3,2,3,2,3,1,1,2,3,2,4,2,2,3,2,2,2,1,2,2,3,2,3,3,3,3,1,2,2,28867926,3,3,3,3,3,4,4,5,2,1,2,2,2,2,2,3,4,3,3,1,2,2,2,3,2,2,2,2,2,2,2,1,1
288.0,GHA,Female,60-69,1,2,2,3,1,1,2,2,1,2,2,2,3,2,3,2,3,1,3,1,1,3,3,2,5,2,2,3,2,2,2,2,2,2,3,3,3,3,3,4,1,2,2,31250002,3,3,3,3,3,4,4,5,2,1,2,2,2,2,2,3,4,3,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2
288.0,GHA,Female,70+,1,2,2,3,1,1,2,2,1,2,1,2,3,3,4,2,3,2,3,1,1,2,3,1,5,2,2,4,1,2,2,1,2,2,3,3,3,4,3,3,2,1,2,31666670,4,3,3,3,4,4,4,5,2,2,2,2,2,2,2,4,4,4,3,1,2,2,2,3,2,2,2,1,3,3,1,1,1
288.0,GHA,Female,<20,1,2,2,3,1,1,2,2,1,2,2,1,3,2,3,2,3,1,3,1,1,2,3,2,4,2,2,3,2,2,2,2,3,2,3,3,3,3,3,3,1,2,2,29450550,3,2,3,3,3,3,4,5,1,1,2,2,2,2,2,3,3,3,3,1,2,2,2,3,2,2,2,2,2,2,2,1,1
288.0,GHA,Male,20-29,1,2,2,3,1,1,2,2,1,2,2,1,3,2,3,2,3,1,3,1,1,2,2,2,4,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,1,2,2,30666668,3,3,3,3,3,4,4,5,1,1,1,2,2,2,2,3,4,3,3,1,1,2,2,3,2,2,2,2,2,2,2,1,1
288.0,GHA,Male,30-39,1,2,2,2,1,1,2,2,1,2,2,1,3,2,3,2,3,1,3,1,1,2,3,2,4,2,2,3,2,2,2,1,2,2,3,3,3,3,2,3,1,2,2,31521740,3,2,3,3,3,4,4,5,1,1,2,2,2,2,2,3,3,3,3,1,1,2,2,3,2,2,2,2,2,2,2,1,1
288.0,GHA,Male,40-49,1,2,2,2,1,1,2,2,1,2,2,1,3,2,3,2,3,1,3,1,1,2,3,2,4,2,2,3,2,2,2,2,2,2,3,2,3,3,3,3,1,2,2,33611113,3,2,3,3,3,4,4,5,1,1,1,2,1,2,2,4,4,3,3,1,2,2,2,3,2,2,2,2,2,2,2,1,1
288.0,GHA,Male,50-59,1,2,2,2,1,1,2,2,1,2,2,1,3,2,3,2,3,1,3,1,1,2,3,2,4,1,2,3,2,2,2,1,2,2,3,2,3,3,2,3,1,2,2,31470590,3,3,4,4,3,4,4,5,1,1,2,2,2,2,2,3,4,3,3,1,1,2,2,3,2,2,2,2,2,3,2,1,1
288.0,GHA,Male,60-69,1,2,2,3,1,1,2,2,1,2,2,1,3,2,2,2,3,1,3,1,1,2,3,2,4,2,2,3,2,2,2,2,3,2,3,3,3,4,3,4,1,2,2,25161291,3,3,4,3,3,4,3,5,1,1,2,2,1,3,2,3,3,3,3,1,1,2,2,3,3,2,2,2,2,2,2,1,1
288.0,GHA,Male,70+,1,2,2,2,1,1,2,2,1,2,2,1,3,2,3,2,3,1,3,1,1,2,2,1,5,1,2,3,2,2,2,1,2,2,3,2,3,3,2,4,1,2,1,26153848,3,2,4,3,3,3,3,5,2,1,2,2,2,2,2,3,3,3,3,1,2,2,2,3,3,2,2,2,3,3,2,1,1
288.0,GHA,Male,<20,1,2,2,3,1,1,2,2,1,2,2,1,3,2,3,2,3,1,3,1,1,2,2,2,3,2,2,3,2,2,2,1,3,2,3,3,3,3,2,3,1,2,2,29215688,3,2,3,4,3,3,4,5,1,1,1,2,2,2,2,3,3,3,3,1,1,2,2,3,2,2,2,2,2,2,2,1,1
