country,country_alpha,gender,age_group,V4,V5,V6,V7,V8,V9,V24,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V102,V103,V104,V105,V106,V107,V127,V128,V129,V130,V142,V143,V144,V171,V172,V173,V174,V175,V176,V177,V178,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V211,V212,V216,V228A,V228B,V228C,V228D,V228E,V228F,V228G,V228H,V228I,V228J,V228K
646.0,RWA,Female,20-29,1,1,2,2,1,2,2,2,2,2,2,2,3,3,3,3,3,1,3,1,1,3,3,3,5,3,3,3,3,3,3,1,2,2,3,3,3,3,3,3,1,2,2,31426584,3,2,3,2,2,4,4,5,1,2,1,1,1,2,2,2,3,2,2,1,2,2,1,1,1,1,1,0,0,1,1,1,1
646.0,RWA,Female,30-39,1,1,2,2,1,2,2,2,2,2,2,2,3,3,3,3,2,1,3,1,1,3,3,3,5,3,3,3,3,3,3,1,2,2,3,3,3,3,3,3,2,2,2,26743073,3,2,2,2,2,4,4,5,1,1,1,1,1,2,2,2,3,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2
646.0,RWA,Female,40-49,1,1,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,3,1,1,3,3,3,5,3,3,3,3,3,3,1,2,2,3,3,3,3,3,2,2,2,2,27254947,3,3,3,3,2,4,4,5,1,2,1,1,1,2,2,2,3,2,2,1,2,2,1,2,2,2,1,1,1,1,1,2,2
646.0,RWA,Female,50-59,1,1,2,2,1,2,2,2,2,2,2,2,3,3,3,3,2,2,3,2,1,3,3,3,5,3,3,3,3,3,3,1,2,2,3,3,3,3,3,2,1,2,2,23723257,3,3,2,1,2,4,4,5,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1,2
646.0,RWA,Female,60-69,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,3,3,2,5,3,3,4,3,4,3,1,2,2,2,3,3,3,2,2,1,2,2,35000001,3,2,2,2,2,4,4,5,1,2,1,1,1,2,2,2,2,2,2,1,1,2,0,1,1,1,1,0,0,0,1,1,1
646.0,RWA,Female,70+,1,1,2,2,1,1,2,1,2,2,2,2,2,2,3,3,2,2,3,2,1,2,2,2,5,2,2,4,2,2,2,1,1,2,3,2,2,2,2,2,1,2,1,10000000,1,0,0,0,1,5,4,5,1,1,1,1,1,2,2,3,3,2,2,1,2,2,0,-1,-1,0,-1,0,0,-1,0,2,2
646.0,RWA,Female,<20,1,1,2,3,2,2,2,2,2,2,2,2,3,3,3,3,2,1,3,1,2,3,3,3,5,2,2,3,2,2,3,1,2,2,3,3,3,3,2,2,1,2,2,45909096,2,1,1,1,1,5,5,5,1,1,1,1,1,2,2,2,3,2,2,1,2,2,0,0,0,1,0,1,0,0,0,1,2
646.0,RWA,Male,20-29,1,1,2,2,1,2,2,2,2,2,2,2,3,3,3,2,3,1,3,1,1,3,3,3,5,3,3,3,3,3,3,1,2,2,3,3,3,3,3,2,1,2,2,30148900,3,2,2,2,2,4,4,5,1,2,1,1,1,2,2,2,3,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1
646.0,RWA,Male,30-39,1,1,2,2,1,2,2,2,2,2,2,2,3,2,3,3,2,1,3,1,1,3,3,3,4,3,3,3,3,3,3,1,2,2,3,3,3,3,3,3,2,2,2,28652437,3,3,3,3,3,4,4,5,1,1,1,1,1,2,2,2,3,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1
646.0,RWA,Male,40-49,1,1,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,1,3,1,1,3,3,3,5,3,3,3,3,3,3,1,2,2,3,3,3,3,3,3,2,2,2,28863417,3,3,3,3,2,4,4,5,2,2,1,1,1,2,2,2,3,2,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1
646.0,RWA,Male,50-59,1,1,2,2,1,2,2,2,2,2,1,2,2,2,3,2,3,2,3,2,1,2,3,2,5,3,3,3,3,3,3,1,2,2,3,3,3,3,2,2,1,2,2,36666670,3,2,2,1,2,4,4,5,1,1,1,1,1,2,2,2,3,2,2,1,2,2,1,1,1,1,1,1,1,2,1,2,2
646.0,RWA,Male,60-69,1,1,2,2,1,2,2,2,2,2,2,2,3,3,3,3,2,1,3,2,1,2,2,2,5,2,2,3,3,3,3,1,1,2,3,3,3,4,3,2,1,2,2,26127779,3,2,2,2,2,4,4,5,1,2,1,1,1,3,2,2,3,2,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1
646.0,RWA,Male,70+,1,1,2,2,1,2,2,1,1,2,2,2,2,2,3,2,3,2,3,2,2,3,4,2,6,3,2,4,3,3,2,1,2,2,3,3,3,3,2,2,1,2,2,36372733,3,3,2,2,3,4,3,5,1,1,2,1,1,2,2,3,3,2,2,1,1,2,1,2,2,3,1,1,2,2,1,2,1
646.0,RWA,Male,<20,1,1,2,3,1,2,2,2,2,2,2,2,3,2,3,2,2,1,3,1,1,3,3,2,5,2,2,4,2,2,2,1,1,2,3,3,3,3,2,3,1,1,2,24166667,3,3,2,3,3,4,4,5,1,2,1,1,1,2,2,2,2,2,1,1,2,2,0,-1,0,0,0,-1,-1,0,0,2,2
