country,country_alpha,gender,age_group,V4,V5,V6,V7,V8,V9,V24,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V102,V103,V104,V105,V106,V107,V127,V128,V129,V130,V142,V143,V144,V171,V172,V173,V174,V175,V176,V177,V178,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V211,V212,V216,V228A,V228B,V228C,V228D,V228E,V228F,V228G,V228H,V228I,V228J,V228K
710.0,ZAF,Female,20-29,1,2,2,3,1,2,2,2,2,2,2,2,2,2,3,3,2,1,2,1,1,2,3,3,3,3,3,3,3,3,3,1,2,2,3,2,2,2,2,2,2,2,2,39344991,2,2,3,3,2,3,3,4,2,2,2,2,2,2,1,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2
710.0,ZAF,Female,30-39,1,2,2,2,1,1,2,2,2,2,2,2,2,2,3,2,2,1,2,2,1,2,3,2,3,3,3,3,3,3,3,1,2,2,3,2,2,2,2,2,2,2,2,36641877,2,2,3,3,2,3,3,4,2,2,2,2,2,2,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
710.0,ZAF,Female,40-49,1,2,2,3,2,1,2,2,2,2,2,2,2,2,3,3,2,1,2,1,1,2,3,2,3,2,3,3,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,36811202,2,2,3,3,2,2,3,4,2,2,2,2,2,2,1,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2
710.0,ZAF,Female,50-59,1,2,2,3,2,1,2,2,2,2,2,2,2,2,3,3,2,1,2,1,1,3,3,3,3,3,3,3,2,3,2,1,2,2,3,2,2,2,2,2,2,2,2,38332468,2,2,3,3,3,2,3,4,2,2,2,2,2,2,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
710.0,ZAF,Female,60-69,1,2,2,3,2,1,2,2,2,2,2,2,2,2,3,2,2,1,2,1,1,3,3,2,3,3,3,3,2,3,2,1,2,2,3,2,3,2,2,2,2,2,2,34548582,2,2,3,3,2,2,3,4,2,2,2,2,2,2,1,3,3,3,3,1,2,2,1,1,2,2,1,1,1,2,1,2,2
710.0,ZAF,Female,70+,1,2,2,3,2,1,2,2,2,2,2,1,2,2,3,2,2,1,1,1,1,3,4,3,3,2,3,3,2,3,2,1,2,2,3,2,3,2,2,2,1,2,2,33052466,2,2,3,3,2,2,2,5,2,2,2,2,3,2,1,3,3,3,3,1,2,2,1,1,1,1,1,1,1,1,1,2,2
710.0,ZAF,Female,<20,1,2,2,3,2,2,2,2,2,2,1,1,2,2,3,3,2,1,2,1,1,2,3,2,2,2,2,3,2,3,2,1,2,2,3,2,2,2,2,2,2,2,2,37214095,2,2,3,3,2,3,3,4,2,2,2,2,2,2,1,3,3,3,3,1,2,1,1,1,1,1,1,1,1,1,1,2,2
710.0,ZAF,Male,20-29,1,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,1,2,1,1,2,3,2,3,3,2,3,3,3,3,1,2,2,3,2,2,2,2,2,2,2,2,47576411,2,2,3,3,2,3,3,4,2,2,2,2,2,2,1,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2
710.0,ZAF,Male,30-39,1,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,1,2,1,1,2,3,2,3,2,3,3,2,3,2,1,2,2,3,2,3,2,2,2,2,2,2,45614873,2,2,3,3,2,3,3,4,2,2,2,2,2,2,1,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2
710.0,ZAF,Male,40-49,1,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,1,2,1,1,2,3,2,2,3,2,3,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,43358878,2,2,3,3,3,2,3,4,2,2,2,2,2,2,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
710.0,ZAF,Male,50-59,1,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,1,2,1,1,2,3,2,3,3,3,3,3,3,3,1,2,2,3,2,2,2,2,2,2,2,2,42059062,2,2,3,3,2,3,3,4,2,2,2,2,2,2,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
710.0,ZAF,Male,60-69,1,2,2,3,2,1,2,2,2,2,2,1,2,2,3,2,2,1,2,1,1,2,3,2,3,3,3,3,2,2,2,1,2,2,3,2,3,2,2,2,2,3,2,33909057,2,2,3,3,3,2,3,4,2,2,2,2,2,2,1,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2
710.0,ZAF,Male,70+,1,2,2,3,2,2,2,2,2,2,2,1,3,3,3,2,2,1,2,1,1,3,3,2,3,2,3,3,2,2,3,1,2,3,3,3,2,2,2,2,2,3,2,46294567,2,2,3,3,2,2,2,5,2,2,2,2,2,2,1,3,3,3,3,1,2,2,2,2,1,2,1,1,1,1,1,2,2
710.0,ZAF,Male,<20,1,2,2,3,2,2,2,2,2,2,2,1,2,2,3,2,2,1,2,1,1,2,3,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,42978451,2,2,3,3,2,3,3,5,2,2,2,2,2,2,1,3,3,3,3,1,2,2,1,1,1,1,1,1,1,1,1,2,2
