|           Tasks            |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|----------------------------|------:|------|-----:|------|---|-----:|---|------|
|afrimmlu_direct_amh_prompt_1|      1|none  |     0|acc   |↑  |0.3400|±  |0.0212|
|                            |       |none  |     0|f1    |↑  |0.3416|±  |   N/A|
|afrimmlu_direct_amh_prompt_2|      1|none  |     0|acc   |↑  |0.3140|±  |0.0208|
|                            |       |none  |     0|f1    |↑  |0.3175|±  |   N/A|
|afrimmlu_direct_amh_prompt_3|      1|none  |     0|acc   |↑  |0.3040|±  |0.0206|
|                            |       |none  |     0|f1    |↑  |0.3059|±  |   N/A|
|afrimmlu_direct_amh_prompt_4|      1|none  |     0|acc   |↑  |0.3340|±  |0.0211|
|                            |       |none  |     0|f1    |↑  |0.3353|±  |   N/A|
|afrimmlu_direct_amh_prompt_5|      1|none  |     0|acc   |↑  |0.3020|±  |0.0206|
|                            |       |none  |     0|f1    |↑  |0.3034|±  |   N/A|
|afrimmlu_direct_eng_prompt_1|      1|none  |     0|acc   |↑  |0.6440|±  |0.0214|
|                            |       |none  |     0|f1    |↑  |0.6455|±  |   N/A|
|afrimmlu_direct_eng_prompt_2|      1|none  |     0|acc   |↑  |0.6120|±  |0.0218|
|                            |       |none  |     0|f1    |↑  |0.6132|±  |   N/A|
|afrimmlu_direct_eng_prompt_3|      1|none  |     0|acc   |↑  |0.5960|±  |0.0220|
|                            |       |none  |     0|f1    |↑  |0.5982|±  |   N/A|
|afrimmlu_direct_eng_prompt_4|      1|none  |     0|acc   |↑  |0.6280|±  |0.0216|
|                            |       |none  |     0|f1    |↑  |0.6287|±  |   N/A|
|afrimmlu_direct_eng_prompt_5|      1|none  |     0|acc   |↑  |0.5660|±  |0.0222|
|                            |       |none  |     0|f1    |↑  |0.5677|±  |   N/A|
|afrimmlu_direct_ewe_prompt_1|      1|none  |     0|acc   |↑  |0.2740|±  |0.0200|
|                            |       |none  |     0|f1    |↑  |0.2723|±  |   N/A|
