Task,Value_Avg,Count,Stderr_Avg
afriqa_base_llama_8b,0.1698,45,
afriqa_base_mistral_7b,0.1949,45,
afriqa_base_qwen_8b,0.2058,45,
afriqa_finetuned_llama_8b,0.1269,45,
afriqa_finetuned_mistral_7b,0.1992,45,
afriqa_finetuned_qwen_8b,0.2029,45,
afrisenti_base_llama_8b,0.372,140,0.0123
afrisenti_base_mistral_7b,0.3352,140,0.012
afrisenti_base_qwen32b,0.3965,140,0.012
afrisenti_base_qwen_8b,0.3244,140,0.0118
afrisenti_finetuned_gemma_27b,0.4051,140,0.0121
afrisenti_finetuned_mistral_7b,0.3485,140,0.0121
afrisenti_finetuned_qwen32b,0.4233,140,0.0124
afrisenti_finetuned_qwen_8b,0.3249,140,0.0115
afrisenti_tt_base_gemma_27b,0.4396,140,0.0121
afrixnli_tt_base_gemma_27b,0.3481,170,0.0197
afrixnli_tt_base_llama_8b,0.3043,170,0.0196
afrixnli_tt_base_mistral_7b,0.3056,170,0.0195
afrixnli_tt_base_qwen32b,0.3924,170,0.0199
afrixnli_tt_base_qwen_8b,0.2984,180,0.0194
afrixnli_tt_finetuned_gemma_27b,0.3597,170,0.0198
afrixnli_tt_finetuned_llama_8b,0.2917,170,0.0195
afrixnli_tt_finetuned_mistral_7b,0.3061,170,0.0195
afrixnli_tt_finetuned_qwen32b,0.376,170,0.0198
afrixnli_tt_finetuned_qwen_8b,0.3412,170,0.0197
